processed_at,source,destination,category,confidence,method,legal_domain,authority,title,metadata_path
2026-08-06T20:57:01.785050+00:00,D:\Nova Legal\Indian Legal\raw\E-gazette5B15D.pdf,D:\Nova Legal\Indian Legal\Category\amendment_acts\E-gazette5B15D.pdf,amendment_acts,0.712,rules,constitutional_law,central_act,"THE CITIZENSHIP (AMENDMENT) ACT, 2015",D:\Nova Legal\Indian Legal\Category\amendment_acts\E-gazette5B15D.pdf.metadata.json
2026-08-06T20:57:24.741011+00:00,D:\Nova Legal\Indian Legal\raw\Emblem-Rules20075B15D.pdf,D:\Nova Legal\Indian Legal\Category\notifications\Emblem-Rules20075B15D.pdf,notifications,0.7964,rules,intellectual_property_law,notification,crest ae Sho Woie-33004/99 REGD. NO. D. L.-33004/99,D:\Nova Legal\Indian Legal\Category\notifications\Emblem-Rules20075B15D.pdf.metadata.json
2026-08-06T20:57:43.964771+00:00,D:\Nova Legal\Indian Legal\raw\EnemyProperty_ThirdOrdiance_31-05-20165B15D.pdf,D:\Nova Legal\Indian Legal\Category\ordinances\EnemyProperty_ThirdOrdiance_31-05-20165B15D.pdf,ordinances,0.6476,rules,partnership_law,central_act,eParet Pe Se were—(T7)04/0007/2003—16 REGISTERED NO. DL—(N)04/0007/2003—16,D:\Nova Legal\Indian Legal\Category\ordinances\EnemyProperty_ThirdOrdiance_31-05-20165B15D.pdf.metadata.json
2026-08-06T20:58:02.292233+00:00,D:\Nova Legal\Indian Legal\raw\EnemyPropertyFourthOrdinanceDated280820165B15D.pdf,D:\Nova Legal\Indian Legal\Category\ordinances\EnemyPropertyFourthOrdinanceDated280820165B15D.pdf,ordinances,0.7774,rules,partnership_law,central_act,tir He Ste Wer—(V7)04/0007/2003—16 REGISTERED NO. DL—(N)04/0007/2003—16,D:\Nova Legal\Indian Legal\Category\ordinances\EnemyPropertyFourthOrdinanceDated280820165B15D.pdf.metadata.json
2026-08-06T20:58:04.538186+00:00,D:\Nova Legal\Indian Legal\raw\ExplosiveSubstancesAct19085B15D.pdf,D:\Nova Legal\Indian Legal\Category\notifications\ExplosiveSubstancesAct19085B15D.pdf,notifications,0.7964,rules,general_or_mixed,notification,"Act Name : THE EXPLOSIVE SUBSTANCES ACT, 1908",D:\Nova Legal\Indian Legal\Category\notifications\ExplosiveSubstancesAct19085B15D.pdf.metadata.json
2026-08-06T20:58:34.410180+00:00,D:\Nova Legal\Indian Legal\raw\FC-RegulationAct-2010-C5B15D.pdf,D:\Nova Legal\Indian Legal\Category\unclassified\FC-RegulationAct-2010-C5B15D.pdf,unclassified,0.5968,rules,company_law,unknown,(NOT IN FORCE AS YET),D:\Nova Legal\Indian Legal\Category\unclassified\FC-RegulationAct-2010-C5B15D.pdf.metadata.json
2026-08-06T20:58:58.355881+00:00,D:\Nova Legal\Indian Legal\raw\FC-rules20115B15D.pdf,D:\Nova Legal\Indian Legal\Category\unclassified\FC-rules20115B15D.pdf,unclassified,0.5,rules,general_or_mixed,unknown,"IN FORCE WITH EFFECT FROM 1°! MAY, 2011",D:\Nova Legal\Indian Legal\Category\unclassified\FC-rules20115B15D.pdf.metadata.json
2026-08-06T20:59:00.716288+00:00,D:\Nova Legal\Indian Legal\raw\FCRAAMENDMENT2020_MHANotification_091020205B15D.pdf,D:\Nova Legal\Indian Legal\Category\notifications\FCRAAMENDMENT2020_MHANotification_091020205B15D.pdf,notifications,0.763,rules,general_or_mixed,notification,रजिस्ट्री सं. डी.एल.- 33004/99,D:\Nova Legal\Indian Legal\Category\notifications\FCRAAMENDMENT2020_MHANotification_091020205B15D.pdf.metadata.json
2026-08-06T20:59:32.033725+00:00,D:\Nova Legal\Indian Legal\raw\fr_rules_19925B15D.pdf,D:\Nova Legal\Indian Legal\Category\rules\fr_rules_19925B15D.pdf,rules,0.7184,rules,general_or_mixed,rules,THE REGISTRATION OF FOREIGNERS,D:\Nova Legal\Indian Legal\Category\rules\fr_rules_19925B15D.pdf.metadata.json
2026-08-06T20:59:41.995404+00:00,D:\Nova Legal\Indian Legal\raw\gazette-dm5B15D.pdf,D:\Nova Legal\Indian Legal\Category\notifications\gazette-dm5B15D.pdf,notifications,0.8691,rules,general_or_mixed,notification,cfr He Sb We-33000/99,D:\Nova Legal\Indian Legal\Category\notifications\gazette-dm5B15D.pdf.metadata.json
2026-08-06T20:59:44.473526+00:00,D:\Nova Legal\Indian Legal\raw\GazetteNotificationforRRURules_05012021_05B15D.pdf,D:\Nova Legal\Indian Legal\Category\notifications\GazetteNotificationforRRURules_05012021_05B15D.pdf,notifications,0.8578,rules,partnership_law,notification,6442 GI/2020,D:\Nova Legal\Indian Legal\Category\notifications\GazetteNotificationforRRURules_05012021_05B15D.pdf.metadata.json
2026-08-06T20:59:46.743507+00:00,D:\Nova Legal\Indian Legal\raw\GazetteofIndia_09015B15D.pdf,D:\Nova Legal\Indian Legal\Category\constitution_and_constitutional_documents\GazetteofIndia_09015B15D.pdf,constitution_and_constitutional_documents,0.712,rules,constitutional_law,constitution,"1 ,-09)04/0007/2003-15",D:\Nova Legal\Indian Legal\Category\constitution_and_constitutional_documents\GazetteofIndia_09015B15D.pdf.metadata.json
