processed_at,source,confidence,top_scores,warnings
2026-08-06T21:01:24.965920+00:00,D:\Nova Legal\Indian Legal\raw\jud-05082026.odttttt.pdf,0.4832,"{""high_court_orders"": 2.4, ""constitution_and_constitutional_documents"": 0.0, ""central_acts"": 0.0, ""state_acts"": 0.0, ""amendment_acts"": 0.0, ""repealing_and_amending_acts"": 0.0, ""ordinances"": 0.0, ""bills"": 0.0}",
2026-08-06T21:01:27.280382+00:00,D:\Nova Legal\Indian Legal\raw\jud-05082026.odttttt_0.pdf,0.4832,"{""high_court_orders"": 2.4, ""constitution_and_constitutional_documents"": 0.0, ""central_acts"": 0.0, ""state_acts"": 0.0, ""amendment_acts"": 0.0, ""repealing_and_amending_acts"": 0.0, ""ordinances"": 0.0, ""bills"": 0.0}",
2026-08-06T21:01:29.488197+00:00,D:\Nova Legal\Indian Legal\raw\jud-05082026.odttttt_1.pdf,0.0,"{""constitution_and_constitutional_documents"": 0.0, ""central_acts"": 0.0, ""state_acts"": 0.0, ""amendment_acts"": 0.0, ""repealing_and_amending_acts"": 0.0, ""ordinances"": 0.0, ""bills"": 0.0, ""rules"": 0.0}",
2026-08-06T21:01:31.729518+00:00,D:\Nova Legal\Indian Legal\raw\jud-31072026.odtt.pdf,0.4832,"{""high_court_orders"": 2.4, ""constitution_and_constitutional_documents"": 0.0, ""central_acts"": 0.0, ""state_acts"": 0.0, ""amendment_acts"": 0.0, ""repealing_and_amending_acts"": 0.0, ""ordinances"": 0.0, ""bills"": 0.0}",
2026-08-06T21:01:33.962492+00:00,D:\Nova Legal\Indian Legal\raw\jud_01_for_31.07.2026_1.pdf,0.0,"{""constitution_and_constitutional_documents"": 0.0, ""central_acts"": 0.0, ""state_acts"": 0.0, ""amendment_acts"": 0.0, ""repealing_and_amending_acts"": 0.0, ""ordinances"": 0.0, ""bills"": 0.0, ""rules"": 0.0}",
2026-08-06T21:01:36.118468+00:00,D:\Nova Legal\Indian Legal\raw\jud_1_for_03.08.2026.pdf,0.0,"{""constitution_and_constitutional_documents"": 0.0, ""central_acts"": 0.0, ""state_acts"": 0.0, ""amendment_acts"": 0.0, ""repealing_and_amending_acts"": 0.0, ""ordinances"": 0.0, ""bills"": 0.0, ""rules"": 0.0}",
2026-08-06T21:03:21.063859+00:00,D:\Nova Legal\Indian Legal\raw\NBK04082026RFA732025_172059.pdf,0.476,"{""petitions_and_pleadings"": 7.0, ""affidavits"": 7.0, ""high_court_orders"": 5.6, ""recruitment_and_examinations"": 4.8, ""forms_and_schedules"": 3.0, ""constitution_and_constitutional_documents"": 0.0, ""central_acts"": 0.0, ""state_acts"": 0.0}",Classification used first 15/32 pages.
2026-08-06T21:03:25.968441+00:00,D:\Nova Legal\Indian Legal\raw\NBK04082026RSA572018_171930.pdf,0.612,"{""arbitral_awards"": 9.0, ""legal_notices"": 9.0, ""district_court_judgments"": 8.0, ""petitions_and_pleadings"": 7.0, ""affidavits"": 7.0, ""contracts_and_agreements"": 6.0, ""recruitment_and_examinations"": 4.8, ""constitution_and_constitutional_documents"": 0.0}",Classification used first 15/27 pages.
2026-08-06T21:04:55.416729+00:00,D:\Nova Legal\Indian Legal\raw\NotiDeputyCustodianofEnemyProperty613E_2909145B15D.pdf,0.5674,"{""notifications"": 7.0, ""gazette_publications"": 5.0, ""recruitment_and_examinations"": 4.8, ""central_acts"": 4.5, ""forms_and_schedules"": 3.0, ""constitution_and_constitutional_documents"": 0.0, ""state_acts"": 0.0, ""amendment_acts"": 0.0}",
2026-08-06T21:05:49.836218+00:00,D:\Nova Legal\Indian Legal\raw\OSA25201923_25042017_05B15D.pdf,0.0,"{""constitution_and_constitutional_documents"": 0.0, ""central_acts"": 0.0, ""state_acts"": 0.0, ""amendment_acts"": 0.0, ""repealing_and_amending_acts"": 0.0, ""ordinances"": 0.0, ""bills"": 0.0, ""rules"": 0.0}",
